record_index,database_group,country,platform_name,display_type,match_relation,display_suitability,source_grade,source_name,source_url,direct_image_url,identity_url,source_filename,local_path,image_type,is_primary,sort_order,caption,notes
1,国外数据库｜第一批,美国,ALPV / Sea Specter,实艇演练照,精确匹配,优,S,DVIDS / U.S. Marine Corps（来源等级：S）,https://www.dvidshub.net/image/9494677/1st-mlg-marines-test-autonomous-low-profile-vessel,https://d1ldvf68ux039x.cloudfront.net/thumbs/photos/2601/9494677/1000w_q95.jpg,https://www.dvidshub.net/image/9330156/usmc-tests-alpv-resolute-dragon-25,ALPV - Sea Specter.jpg,img/platforms/platform-001.webp,exercise,1,0,实艇演练照｜精确匹配。完整艇体、三分之四视角；军方官方影像，适合作为装备外形主展示图。,完整艇体、三分之四视角；军方官方影像，适合作为装备外形主展示图。
2,国外数据库｜第一批,美国,Autonomous Littoral Connector（自主化 LCM-8）,底层平台实艇照,平台参考（非自主化改装状态）,参考,S,Joint Base Langley-Eustis / U.S. DoD（来源等级：S）,https://www.jble.af.mil/News/Photos/igphoto/2002129265/,https://media.defense.gov/2019/May/08/2002129265/-1/-1/0/190424-A-BZ868-1025.JPG,https://www.leidos.com/insights/leidos-demonstrates-autonomous-naval-capabilities-defender-europe-21,Autonomous Littoral Connector（自主化 LCM-8）.jpg,img/platforms/platform-002.avif,official,1,0,底层平台实艇照｜平台参考（非自主化改装状态）。用于展示LCM-8基础艇型全貌；ALC是在LCM-8等连接器上集成自主能力，此图不能代表传感器/控制设备的具体改装状态。,用于展示LCM-8基础艇型全貌；ALC是在LCM-8等连接器上集成自主能力，此图不能代表传感器/控制设备的具体改装状态。
3,国外数据库｜第一批,美国,MANTAS T12,实艇产品照,精确匹配,优,S,MARTAC Systems（来源等级：S）,https://martacsystems.com/products/t12/,https://martacsystems.com/media/tucjrnyf/mantas-forefront.jpg,https://martacsystems.com/products/t12/,MANTAS T12.jpg,img/platforms/platform-003.webp,manufacturer,1,0,实艇产品照｜精确匹配。厂商官方全艇展示图，艇体轮廓清楚。,厂商官方全艇展示图，艇体轮廓清楚。
4,国外数据库｜第一批,美国,Splash Typhoon,实艇航行照,精确匹配,优,S,Splash Industries（来源等级：S）,https://splash9.com/,https://framerusercontent.com/images/3js3OtRxOYliHlC6U3v4Uhu6Bs.jpg?height=2000&width=3000,https://splash9.com/,Splash Typhoon.jpg,img/platforms/platform-004.avif,manufacturer,1,0,实艇航行照｜精确匹配。厂商官网展示图，三分之四视角且主体完整。,厂商官网展示图，三分之四视角且主体完整。
5,国外数据库｜第一批,美国,Devil Ray T38,实艇航行照,精确匹配,优,S*,U.S. Navy 原始摄影 / Wikimedia Commons镜像（来源等级：S*）,https://commons.wikimedia.org/wiki/File:MARTAC_Devil_Ray_T38.jpg,https://upload.wikimedia.org/wikipedia/commons/d/df/MARTAC_Devil_Ray_T38.jpg,https://www.dvidshub.net/image/7168927/t38-devil-ray-usv-operations,Devil Ray T38.jpg,img/platforms/platform-005.jpg,exercise,1,0,实艇航行照｜精确匹配。图片托管于Wikimedia，但原始来源为美国海军；用DVIDS精确型号页交叉核验。全艇视角优于此前局部图。,图片托管于Wikimedia，但原始来源为美国海军；用DVIDS精确型号页交叉核验。全艇视角优于此前局部图。
6,国外数据库｜第一批,美国,Textron CUSV / MCM USV,实艇产品照,精确匹配,优,S,Textron Systems（来源等级：S）,https://www.textronsystems.com/products/cusv,https://www.textronsystems.com/sites/default/files/styles/compress_image/public/_images/gallery-slides/2000x1126-Image_CUSV_3%20%281%29_0.jpg?itok=AhEOxZ3t,https://www.textronsystems.com/products/cusv,Textron CUSV - MCM USV.jpg,img/platforms/platform-006.jpg,manufacturer,1,0,实艇产品照｜精确匹配。厂商官方图库，艇体完整、视角适合展示。,厂商官方图库，艇体完整、视角适合展示。
7,国外数据库｜第一批,土耳其,ULAQ-12 ASuW,实艇/官方产品照,精确匹配,优,S,ARES Shipyard（来源等级：S）,https://ares.global/media-center/news/turkeys-first-armed-unmanned-surface-vehicle-ulaq-will-be-the-new-guardian-of-the-blue-homeland,https://ares.global/images/uploads/d/media/ulaq-2_1606992749.jpg,https://ares.global/media-center/news/turkeys-first-armed-unmanned-surface-vehicle-ulaq-will-be-the-new-guardian-of-the-blue-homeland,ULAQ-12 ASuW.jpg,img/platforms/platform-007.jpg,manufacturer,1,0,实艇/官方产品照｜精确匹配。ARES官方发布图片，可清楚辨认ULAQ艇体和上层武器/传感器布置。,ARES官方发布图片，可清楚辨认ULAQ艇体和上层武器/传感器布置。
8,国外数据库｜第一批,乌克兰,Sea Baby（新一代）,实艇航行照,精确匹配（新一代公开艇型）,优,A,Ahram Online（图片） / SBU（身份核验）（来源等级：A）,https://english.ahram.org.eg/NewsContent/2/11/519130/World/War-in-Ukraine/Russia-says-destroyed--Ukrainian-drones.aspx,https://english.ahram.org.eg/Media/News/2024/3/9/41_2024-638455819500914717-91.jpg,https://ssu.gov.ua/novyny/sbu-prodemonstruvala-nove-pokolinnia-lehendarnykh-morskykh-droniv-sea-baby-video,Sea Baby（新一代）.jpg,img/platforms/platform-008.jpg,combat,1,0,实艇航行照｜精确匹配（新一代公开艇型）。实艇完整航行视图，比官方视频缩略图更适合展示；型号身份另用乌克兰安全局官方页面交叉核验。,实艇完整航行视图，比官方视频缩略图更适合展示；型号身份另用乌克兰安全局官方页面交叉核验。
9,国外数据库｜第一批,乌克兰,MAGURA V5,展会模型/样艇,精确匹配,优,A,Naval News（来源等级：A）,https://www.navalnews.com/event-news/dsei-2023/2023/09/ukraines-magura-v5-usv-on-the-stage-at-dsei-2023/,https://www.navalnews.com/wp-content/uploads/2023/09/PXL_20230914_123714297-ink-1024x768.jpeg,https://gur.gov.ua/en/content/magura-v5-zbroia-iaka-harantuie-morske-pravo-ukrainy,MAGURA V5.jpg,img/platforms/platform-009.jpg,other,1,0,展会模型/样艇｜精确匹配。Naval News在DSEI现场拍摄并明确标注为MAGURA V5 mockup；虽然不是作战实艇照片，但整体轮廓最清楚，适合外形展示。,Naval News在DSEI现场拍摄并明确标注为MAGURA V5 mockup；虽然不是作战实艇照片，但整体轮廓最清楚，适合外形展示。
10,国外数据库｜第一批,美国,Saronic Corsair,实艇航行照,精确匹配,优,S,Saronic（来源等级：S）,https://www.saronic.com/vessels,https://www.saronic.com/_next/image?q=75&url=%2Fassets%2Fimages%2Fvessels%2Fcorsair%2FSAR_Corsair_Hero.webp&w=3840,https://www.saronic.com/vessels,Saronic Corsair.jpg,img/platforms/platform-010.webp,manufacturer,1,0,实艇航行照｜精确匹配。厂商官网Corsair主视觉图，完整侧/三分之四视角。,厂商官网Corsair主视觉图，完整侧/三分之四视角。
